plz,abgefrage_plz,ort,angebotenes_impfzentrum,public_key_impfzentrum,distanz_zum_impfzentrum(km),json_daten_impfzentrum
19273,19273,Amt Neuhaus,IZ Lüneburg,588751894396000,60,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 60, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
19273-21354,19273,Bleckede,IZ Lüneburg,588751894396000,60,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 60, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21217-21220,21217,Seevetal,IZ Harburg - Winsen,810451667340277,25,"{'resultList': [{'vaccinationCenterPk': 810451667340277, 'name': 'IZ Harburg - Winsen', 'streetName': 'Luhdorfer Straße', 'streetNumber': '29', 'zipcode': '21423', 'city': 'Winsen (Luhe)', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21224,21224,Rosengarten (Landkreis Harburg),IZ Harburg - Buchholz,437683354674822,10,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21227,21227,Bendestorf,IZ Harburg - Buchholz,437683354674822,15,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21228,21228,Harmstorf,IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21244,21244,Buchholz in der Nordheide,IZ Harburg - Buchholz,437683354674822,5,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21255,21255,Dohren (Nordheide),IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21255,21255,Kakenstorf,IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21255,21255,Königsmoor,IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
